"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.49","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.27","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.fd25550b57dc","annexes.a2.3_learning_outcomes|table_cell","LO2.2.08","LO2.2.08"
"doc.annexes.a2.3_learning_outcomes.table_cell.57e2d4341591","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the importance of assessing the value and accuracy of information and content prior to sharing it in digital environments.","Het belang erkennen van het beoordelen van de waarde en nauwkeurigheid van informatie en inhoud alvorens deze te delen in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.43","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.20","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.7c28f1540ccb.28","annexes.a2.3_learning_outcomes|table_cell","AI not Implicit or Explicit","AI niet impliciet of expliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.5c8a098dfaac","annexes.a2.3_learning_outcomes|table_cell","LO2.2.09","LO2.2.09"
"doc.annexes.a2.3_learning_outcomes.table_cell.027d3fdf2c5b","annexes.a2.3_learning_outcomes|table_cell","Define responsibilities associated with sharing information and content in digital environments.","Verantwoordelijkheden definiëren die gepaard gaan met het delen van informatie en inhoud in digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.44","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.55","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.81","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.8baafa3172fb","annexes.a2.3_learning_outcomes|table_cell","LO2.2.10","LO2.2.10"
"doc.annexes.a2.3_learning_outcomes.table_cell.571d008aecdf","annexes.a2.3_learning_outcomes|table_cell","Describe effective and ethical ways to share information and content in a variety of digital environments.","Effectieve en ethische manieren beschrijven om informatie en inhoud te delen in verschillende digitale omgevingen."
"doc.annexes.a2.3_learning_outcomes.table_cell.5219599e6d56.45","annexes.a2.3_learning_outcomes|table_cell","Intermediate","Gemiddeld"
"doc.annexes.a2.3_learning_outcomes.table_cell.99a3d093575a.56","annexes.a2.3_learning_outcomes|table_cell","Knowledge","Kennis"
