"location","context","source","target"
"doc.digcomp_3.0_framework.digcomp_3.0.identifying_and_addressing_digital_competence_needs.paragraph.021ded44c1d6","digcomp_3.0_framework.digcomp_3.0.identifying_and_addressing_digital_competence_needs|paragraph","To recognise where one’s own digital competence needs to be improved or updated. To address digital competence needs within a broader process of lifelong learning, building capacity and autonomy. To support others with their digital competence development. To stay informed about digital technological developments and their personal, professional and societal implications.","Herkennen waar de eigen digitale competentie verbeterd of geactualiseerd moet worden. Digitale competentiebehoeften aanpakken binnen een breder proces van een leven lang leren, waarbij capaciteit en autonomie worden opgebouwd. Anderen ondersteunen bij de ontwikkeling van hun digitale competenties. Op de hoogte blijven van digitale technologische ontwikkelingen en hun persoonlijke, professionele en maatschappelijke implicaties."
"doc.digcomp_3.0_framework.digcomp_3.0.identifying_and_addressing_digital_competence_needs.paragraph.c4a8cfb879ed","digcomp_3.0_framework.digcomp_3.0.identifying_and_addressing_digital_competence_needs|paragraph","Link to learning outcomes for Competence 5.4","Link naar leerresultaten voor competentie 5.4"
"doc.concluding_remarks.paragraph.9fafece8cc6a","concluding_remarks|paragraph","DigComp 3.0 aims to provide a unifying, coherent, clear and relevant description of digital competence, for any individual or organisation that wants to understand digital competence and to identify ways to support its development, whether among children or adults. As digital technologies are rapidly evolving, the technology-neutral and flexible nature of DigComp can provide a stable reference point from which to build policy and foster improvements in levels of digital competence. It is hoped its users will continue to raise awareness of the framework and its uses, as well as to encourage and promote its adoption (Centeno & Cosgrove, 2025).","DigComp 3.0 beoogt een verbindende, samenhangende, duidelijke en relevante beschrijving van digitale competentie te bieden voor elk individu of elke organisatie die digitale competentie wil begrijpen en manieren wil vinden om de ontwikkeling ervan te ondersteunen, zowel bij kinderen als bij volwassenen. Omdat digitale technologieën snel evolueren, kan de technologieneutrale en flexibele aard van DigComp een stabiel referentiepunt vormen van waaruit beleid kan worden opgebouwd en verbeteringen in de niveaus van digitale competentie kunnen worden bevorderd. Gehoopt wordt dat de gebruikers het bewustzijn van het kader en de toepassingen ervan zullen blijven vergroten, evenals de adoptie ervan zullen aanmoedigen en bevorderen (Centeno & Cosgrove, 2025)."
"doc.references.paragraph.03512ccf5d21","references|paragraph","Abendroth-Dias, K., Arias-Cabarcos, P., Bacco, F.M., Bassani, E., Bertoletti, A., et al. (authors); Navajas-Cawood, E., Vespe, M., Kotzev, A. and Van Bavel, R. (editors) (2025). Generative AI Outlook Report - Exploring the Intersection of Technology, Society and Policy. Luxembourg: Publications Office of the European Union. https://publications.jrc.ec.europa.eu/repository/handle/JRC142598","Abendroth-Dias, K., Arias-Cabarcos, P., Bacco, F.M., Bassani, E., Bertoletti, A., et al. (auteurs); Navajas-Cawood, E., Vespe, M., Kotzev, A. en Van Bavel, R. (redacteurs) (2025). Generative AI Outlook Report - Exploring the Intersection of Technology, Society and Policy. Luxemburg: Bureau voor publicaties van de Europese Unie. https://publications.jrc.ec.europa.eu/repository/handle/JRC142598"
"doc.references.paragraph.2c3afb37ef9c","references|paragraph","Anderson, L. W., & Krathwohl, D. R., with Airasian, P. W., Cruikshank, K. A., Mayer,","Anderson, L. W., & Krathwohl, D. R., met Airasian, P. W., Cruikshank, K. A., Mayer,"
"doc.references.paragraph.19d9a2f49038","references|paragraph","R. E., Pintrich, P. R., Raths, J., & Wittrock, M. C. (Eds.). (2001). A taxonomy for learning, teaching, and assessing: A revision of Bloom’s taxonomy of educational objectives. Abridged Version. London: Pearson. ISBN-13: 9780321084057.","R. E., Pintrich, P. R., Raths, J., & Wittrock, M. C. (Red.). (2001). A taxonomy for learning, teaching, and assessing: A revision of Bloom’s taxonomy of educational objectives. Beknopte versie. Londen: Pearson. ISBN-13: 9780321084057."
"doc.references.paragraph.b55a22ab2b63","references|paragraph","Boerkamp, L. G. P., van Deursen, A. J. A. M., Laar, E. van, van der Zeeuw, A., & van der Graaf, S. (2024). Exploring Barriers to and Outcomes of Internet Appropriation Among Households Living in Poverty: A Systematic Literature Review. Sage Open,","Boerkamp, L. G. P., van Deursen, A. J. A. M., Laar, E. van, van der Zeeuw, A., & van der Graaf, S. (2024). Exploring Barriers to and Outcomes of Internet Appropriation Among Households Living in Poverty: A Systematic Literature Review. Sage Open,"
"doc.references.paragraph.b2ccfb94973e","references|paragraph","14(1). https://doi.org/10.1177/21582440241233047","14(1). https://doi.org/10.1177/21582440241233047"
"doc.references.paragraph.92155e14c939","references|paragraph","Brundle, C., Johansson, J. F., Best, K., Clegg, A., Forster, A., Atkinson, T., Foster, M., Humphrey, S., Iliff, A., Inglis, J., Walker, C., & Graham, L. (2025). Development of methods to identify digitally excluded older people, and tailoring of interventions to meet their digital needs: a protocol for a mixed-methods study (the INCLUDE study). BMJ open, 15(9), e102723. https://doi.org/10.1136/bmjopen-2025-102723","Brundle, C., Johansson, J. F., Best, K., Clegg, A., Forster, A., Atkinson, T., Foster, M., Humphrey, S., Iliff, A., Inglis, J., Walker, C., & Graham, L. (2025). Ontwikkeling van methoden om digitaal uitgesloten ouderen te identificeren en interventies op maat te maken om aan hun digitale behoeften te voldoen: een protocol voor een mixed-methods onderzoek (het INCLUDE-onderzoek). BMJ open, 15(9), e102723. https://doi.org/10.1136/bmjopen-2025-102723"
"doc.references.paragraph.d62898242211","references|paragraph","Carretero Gomez, S., Vuorikari, R. and Punie, Y (2017). DigComp 2.1: The Digital Competence Framework for Citizens with eight proficiency levels and examples of use. Luxembourg: Publications Office of the European Union. https://publications. jrc.ec.europa.eu/repository/handle/JRC106281","Carretero Gomez, S., Vuorikari, R. en Punie, Y (2017). DigComp 2.1: The Digital Competence Framework for Citizens met acht beheersingsniveaus en gebruiksvoorbeelden. Luxemburg: Bureau voor publicaties van de Europese Unie. https://publications.jrc.ec.europa.eu/repository/handle/JRC106281"
