"location","context","source","target"
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.32","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.35","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.128","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.2dd90a22ad17","annexes.a2.3_learning_outcomes|table_cell","LO2.5.20","LO2.5.20"
"doc.annexes.a2.3_learning_outcomes.table_cell.68f66f787e53","annexes.a2.3_learning_outcomes|table_cell","Assist others to understand key rights and responsibilities under policies and legislation relating to digital behaviour in a given context.","Anderen helpen bij het begrijpen van de belangrijkste rechten en verantwoordelijkheden onder beleid en wetgeving met betrekking tot digitaal gedrag in een gegeven context."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.33","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.84","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.129","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.table_cell.42c548021f23","annexes.a2.3_learning_outcomes|table_cell","LO2.5.21","LO2.5.21"
"doc.annexes.a2.3_learning_outcomes.table_cell.618bcb3f1c7a","annexes.a2.3_learning_outcomes|table_cell","Lead or contribute to digital behaviour policies or initiatives.","Leiding geven aan of bijdragen aan beleid of initiatieven op het gebied van digitaal gedrag."
"doc.annexes.a2.3_learning_outcomes.table_cell.befe7e438300.34","annexes.a2.3_learning_outcomes|table_cell","Highly advanced","Zeer geavanceerd"
"doc.annexes.a2.3_learning_outcomes.table_cell.9ccc51193e6f.85","annexes.a2.3_learning_outcomes|table_cell","Skill","Vaardigheid"
"doc.annexes.a2.3_learning_outcomes.table_cell.a89f17af6f31.130","annexes.a2.3_learning_outcomes|table_cell","AI-Implicit","AI-impliciet"
"doc.annexes.a2.3_learning_outcomes.paragraph.5cc86d195cd0","annexes.a2.3_learning_outcomes|paragraph","COMPETENCE AREA 2: COMMUNICATION AND COLLABORATION - Competence 2.6 Managing digital identity","COMPETENTIEGEBIED 2: COMMUNICATIE EN SAMENWERKING - Competentie 2.6 Digitale identiteit beheren"
"doc.annexes.a2.3_learning_outcomes.paragraph.dddde90bda26.4","annexes.a2.3_learning_outcomes|paragraph","Back to Section 3","Terug naar Sectie 3"
"doc.annexes.a2.3_learning_outcomes.table_cell.7f105e626849.7","annexes.a2.3_learning_outcomes|table_cell","ID","ID"
"doc.annexes.a2.3_learning_outcomes.table_cell.6b3e8b9eee21.7","annexes.a2.3_learning_outcomes|table_cell","Learning Outcome","Leerresultaat"
"doc.annexes.a2.3_learning_outcomes.table_cell.58455a4223da.7","annexes.a2.3_learning_outcomes|table_cell","Proficiency level","Beheersingsniveau"
"doc.annexes.a2.3_learning_outcomes.table_cell.7749ae779807.7","annexes.a2.3_learning_outcomes|table_cell","Knowledge, skill or attitude","Kennis, vaardigheid of attitude"
"doc.annexes.a2.3_learning_outcomes.table_cell.37f41acb6b6e.7","annexes.a2.3_learning_outcomes|table_cell","AI label","AI-label"
"doc.annexes.a2.3_learning_outcomes.table_cell.5776063b0c26","annexes.a2.3_learning_outcomes|table_cell","LO2.6.01","LO2.6.01"
"doc.annexes.a2.3_learning_outcomes.table_cell.eb3bb4e9b7b1","annexes.a2.3_learning_outcomes|table_cell","Acknowledge the benefits of implementing measures to help manage one’s digital identity.","De voordelen erkennen van het implementeren van maatregelen om de eigen digitale identiteit te helpen beheren."
"doc.annexes.a2.3_learning_outcomes.table_cell.737fe01ceb40.46","annexes.a2.3_learning_outcomes|table_cell","Basic","Basis"
"doc.annexes.a2.3_learning_outcomes.table_cell.70d2e7904e30.36","annexes.a2.3_learning_outcomes|table_cell","Attitude","Attitude"
