"location","context","source","target"
"doc.colophon.paragraph.279b0fa01314","colophon|paragraph","This document is a publication by the Joint Research Centre (JRC), the European Commission’s science and knowledge service. It aims to provide evidence-based scientific support to the European policymaking process. The contents of this publication do not necessarily reflect the position or opinion of the European Commission. Neither the European Commission nor any person acting on behalf of the Commission is responsible for the use that might be made of this publication. For information on the methodology and quality underlying the data used in this publication for which the source is neither Eurostat nor other Commission services, users should contact the referenced source. The designations employed and the presentation of material on the maps do not imply the expression of any opinion whatsoever on the part of the European Union concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries.","Dit document is een publicatie van het Gemeenschappelijk Centrum voor onderzoek (JRC), de dienst voor wetenschap en kennis van de Europese Commissie. Het beoogt op feiten gebaseerde wetenschappelijke ondersteuning te bieden aan het Europese beleidsproces. De inhoud van deze publicatie weerspiegelt niet noodzakelijkerwijs het standpunt of de mening van de Europese Commissie. Noch de Europese Commissie, noch enige persoon die namens de Commissie handelt, is verantwoordelijk voor het gebruik dat van deze publicatie zou kunnen worden gemaakt. Voor informatie over de methodologie en kwaliteit die ten grondslag liggen aan de gegevens in deze publicatie waarvoor de bron noch Eurostat noch andere diensten van de Commissie is, moeten gebruikers contact opnemen met de genoemde bron. De gebruikte benamingen en de presentatie van het materiaal op de kaarten houden geen uiting in van welke mening dan ook van de kant van de Europese Unie over de juridische status van een land, gebied, stad of regio of van de autoriteiten daarvan, of over de afbakening van de grenzen."
"doc.colophon.paragraph.edc8a4d59e0f","colophon|paragraph","The Joint Research Centre: EU Science Hub","Het Gemeenschappelijk Centrum voor onderzoek: EU Science Hub"
"doc.colophon.paragraph.0ae40a3e0456","colophon|paragraph","https://joint-research-centre.ec.europa.eu","https://joint-research-centre.ec.europa.eu"
"doc.colophon.paragraph.f4e11bd910da","colophon|paragraph","JRC144121 EUR 40491","JRC144121 EUR 40491"
"doc.colophon.table_cell.59a39a184f7c","colophon|table_cell","Print","Print"
"doc.colophon.table_cell.78536b565fe5","colophon|table_cell","ISBN 978-92-68-34351-7","ISBN 978-92-68-34351-7"
"doc.colophon.table_cell.63028b9554a5","colophon|table_cell","ISSN 1018-5593","ISSN 1018-5593"
"doc.colophon.table_cell.9b5215c335bd","colophon|table_cell","doi:10.2760/7379058","doi:10.2760/7379058"
"doc.colophon.table_cell.0aab539ea880","colophon|table_cell","KJ-01-25-521-EN-C","KJ-01-25-521-EN-C"
"doc.colophon.table_cell.111312108f71","colophon|table_cell","PDF","PDF"
"doc.colophon.table_cell.9c4bf9b242c9","colophon|table_cell","ISBN 978-92-68-32677-0","ISBN 978-92-68-32677-0"
"doc.colophon.table_cell.c0cebbd9f5fe","colophon|table_cell","ISSN 1831-9424","ISSN 1831-9424"
"doc.colophon.table_cell.10fd15613f54","colophon|table_cell","doi:10.2760/0001149","doi:10.2760/0001149"
"doc.colophon.table_cell.6ba1d080223e","colophon|table_cell","KJ-01-25-521-EN-N","KJ-01-25-521-EN-N"
"doc.colophon.paragraph.93bb8ab5aa69","colophon|paragraph","Luxembourg: Publications Office of the European Union, 2025","Luxemburg: Bureau voor publicaties van de Europese Unie, 2025"
"doc.colophon.paragraph.18b1d132f053","colophon|paragraph","© European Union, 2025","© Europese Unie, 2025"
"doc.colophon.paragraph.ea3b61a8c0ae","colophon|paragraph","The reuse policy of the European Commission documents is implemented by the Commission Decision 2011/833/EU of 12 December 2011 on the reuse of Commission documents (OJ L 330, 14.12.2011, p. 39). Unless otherwise noted, the reuse of this document is authorised under the Creative Commons Attribution 4.0 International (CC BY 4.0) licence (https://creativecommons.org/licenses/by/4.0/). This means that reuse is allowed provided appropriate credit is given and any changes are indicated.","Het beleid inzake hergebruik van documenten van de Europese Commissie wordt uitgevoerd bij Besluit 2011/833/EU van de Commissie van 12 december 2011 betreffende het hergebruik van documenten van de Commissie (PB L 330 van 14.12.2011, blz. 39). Tenzij anders vermeld, is hergebruik van dit document toegestaan onder de licentie Creative Commons Attribution 4.0 International (CC BY 4.0) (https://creativecommons.org/licenses/by/4.0/). Dit betekent dat hergebruik is toegestaan, mits de bron op passende wijze wordt vermeld en eventuele wijzigingen worden aangegeven."
